DATE,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,Oa01_radiance,Oa02_radiance,Oa03_radiance,Oa04_radiance,Oa05_radiance,Oa06_radiance,Oa07_radiance,Oa08_radiance,Oa09_radiance,Oa10_radiance,Oa11_radiance,Oa12_radiance,Oa13_radiance,Oa14_radiance,Oa15_radiance,Oa16_radiance,Oa17_radiance,Oa18_radiance,Oa19_radiance,Oa20_radiance,Oa21_radiance
6/26/2021,39.00455,1.02041,37.00800176,23.67600112,0.051000002,29247.93037,1.2985681,1.2634024,1.1404602,0.7268616,0.7288742,0.32528957,0.20160397,0.1711854,16218.91219,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.03944032,0.0274981,0.02514235,0.00979134,0.00648236
6/26/2021,39.00214,1.01645,37.01500176,23.68100112,0.058000003,58495.86074,1.3119554,1.2512543,1.0713414,0.6965757,0.7165204,0.32528957,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.0274981,0.02514235,0.00979134,0.00648236
6/27/2021,38.9982,1.00999,37.01800176,23.71800113,0.058000003,0,1.2717935,1.2391062,1.0598216,0.6965757,0.7165204,0.32528957,0.20160397,0.1711854,0,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.03944032,0.0274981,0.02514235,0.01305512,0.00648236
6/27/2021,38.99604,1.00646,37.02000176,23.72500113,0.066000003,58495.86074,1.2851808,1.2391062,1.0713414,0.7268616,0.7288742,0.33408118,0.21913475,0.190206,32437.82439,0.12834937,0.1151936,0.09745892,0.0346048,0.03687453,0.05832937,0.05423044,0.04399696,0.03519929,0.0163189,0.00648236
6/27/2021,38.99371,0.99567,37.03400176,23.63500112,0.073000003,58495.86074,1.3119554,1.2512543,1.0598216,0.706671,0.7165204,0.32528957,0.21913475,0.1997163,32437.82439,0.12834937,0.1151936,0.09745892,0.043256,0.03687453,0.05832937,0.05423044,0.03849734,0.03519929,0.0163189,0.00648236
6/27/2021,38.99298,0.98419,37.01300176,23.52100112,0.058000003,58495.86074,1.3119554,1.2269581,1.0252622,0.6561945,0.6671052,0.29891474,0.18407319,0.1616751,32437.82439,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.03944032,0.03299772,0.02514235,0.01305512,0.00648236
6/27/2021,38.99156,0.96168,37.07400176,23.59000112,0.066000003,58495.86074,1.3119554,1.2269581,1.0483018,0.7268616,0.7288742,0.32528957,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.03944032,0.03299772,0.02514235,0.01305512,0.00648236
6/27/2021,38.98902,0.92165,37.07000176,23.59700112,0.058000003,58495.86074,1.2851808,1.2512543,1.1059008,0.7268616,0.7288742,0.32528957,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/27/2021,38.98808,0.90682,37.01600176,23.56400112,0.029000001,58495.86074,1.2450189,1.2026619,1.1174206,0.7268616,0.7288742,0.32528957,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.02514235,0.01305512,0.00648236
6/27/2021,38.98551,0.86619,37.03800176,23.63300112,0.044000002,58495.86074,1.204857,1.1540695,1.0828612,0.7167663,0.7288742,0.32528957,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/27/2021,38.97386,0.76636,37.22300177,23.92200114,0.073000003,0,1.2717935,1.2391062,1.0713414,0.706671,0.7165204,0.33408118,0.21036936,0.1806957,0,0.11483891,0.1007944,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.02514235,0.01305512,0.00648236
6/28/2021,38.96879,0.72451,37.29200177,23.91500114,0.066000003,58495.86074,1.2450189,1.21481,1.0483018,0.6864804,0.6918128,0.31649796,0.20160397,0.1806957,32437.82439,0.11483891,0.1007944,0.08996208,0.0346048,0.03160674,0.0530267,0.0493004,0.03849734,0.03017082,0.0163189,0.00648236
6/28/2021,38.96389,0.62602,37.77500179,23.51300112,0.058000003,0,1.2182443,1.1905138,1.036782,0.6662898,0.679459,0.29891474,0.19283858,0.1616751,0,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.96352,0.60551,37.78900179,23.48900112,0.073000003,58495.86074,1.2182443,1.1783657,1.036782,0.6662898,0.679459,0.30770635,0.19283858,0.1616751,32437.82439,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.9628,0.56559,37.78700179,23.47200111,0.058000003,58495.86074,1.2182443,1.1783657,1.036782,0.6662898,0.679459,0.29891474,0.19283858,0.1616751,32437.82439,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.9622,0.5323,37.8090018,23.61700112,0.073000003,0,1.2182443,1.1783657,1.036782,0.6662898,0.679459,0.30770635,0.19283858,0.1616751,0,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.97058,0.49599,37.8180018,23.53200112,0.088000004,58495.86074,1.2182443,1.1783657,1.036782,0.6662898,0.679459,0.30770635,0.19283858,0.1616751,32437.82439,0.10132845,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.98631,0.44772,37.8460018,23.43600111,0.095000005,116991.7215,1.204857,1.1662176,1.036782,0.6763851,0.679459,0.30770635,0.19283858,0.1616751,64875.64878,0.10132845,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.0493004,0.03849734,0.03017082,0.0163189,0.00648236
6/28/2021,38.99086,0.43374,37.8520018,23.38300111,0.102000005,116991.7215,1.204857,1.1662176,1.036782,0.6763851,0.679459,0.30770635,0.19283858,0.1616751,64875.64878,0.10132845,0.0935948,0.0749684,0.0346048,0.03160674,0.04242136,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.9953,0.42013,37.8920018,23.33600111,0.088000004,58495.86074,1.204857,1.1540695,1.0483018,0.6763851,0.679459,0.30770635,0.19283858,0.1616751,32437.82439,0.10808368,0.0935948,0.0749684,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,38.9992,0.40817,37.8710018,23.2050011,0.102000005,58495.86074,1.1914697,1.1540695,1.0483018,0.6763851,0.6918128,0.30770635,0.19283858,0.1616751,32437.82439,0.10808368,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/28/2021,39.00276,0.39723,37.8700018,23.1020011,0.102000005,58495.86074,1.1914697,1.1540695,1.0483018,0.6763851,0.6918128,0.30770635,0.20160397,0.1711854,32437.82439,0.10808368,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03849734,0.03017082,0.01305512,0.00648236
6/29/2021,39.00972,0.37588,37.8460018,22.92900109,0.095000005,58495.86074,1.1914697,1.1419214,1.0483018,0.6864804,0.6918128,0.31649796,0.20160397,0.1711854,32437.82439,0.10808368,0.1007944,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.03017082,0.01305512,0.00648236
6/29/2021,39.01287,0.36619,37.8530018,23.38300111,0.080000004,116991.7215,1.1914697,1.1540695,1.0483018,0.6763851,0.6918128,0.30770635,0.19283858,0.1711854,64875.64878,0.10808368,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.04437036,0.03299772,0.02514235,0.01305512,0.00648236
6/29/2021,39.01704,0.35056,37.8770018,23.94500114,0.095000005,0,1.17138875,1.12369925,0.979183,0.63095625,0.6423976,0.294518935,0.19283858,0.16643025,0,0.10808368,0.0935948,0.08246524,0.0346048,0.03160674,0.04772403,0.04683538,0.03574753,0.027656585,0.01305512,0.00648236
6/29/2021,39.01587,0.34082,37.8990018,23.35500111,0.080000004,0,1.17138875,1.12369925,0.979183,0.63095625,0.6362207,0.285727325,0.179690495,0.15691995,0,0.10132845,0.089995,0.0749684,0.0346048,0.028972845,0.045072695,0.04190534,0.03299772,0.02514235,0.01305512,0.00648236
6/29/2021,39.01478,0.33181,37.9070018,23.29200111,0.088000004,58495.86074,1.17138875,1.1176252,0.979183,0.63095625,0.6300438,0.285727325,0.179690495,0.1521648,32437.82439,0.10132845,0.089995,0.0749684,0.0346048,0.028972845,0.045072695,0.04190534,0.03299772,0.02514235,0.01305512,0.00648236
6/29/2021,39.01419,0.32688,37.9140018,23.2110011,0.095000005,58495.86074,1.1780824,1.12369925,0.979183,0.63095625,0.6300438,0.285727325,0.179690495,0.1521648,32437.82439,0.10132845,0.089995,0.0749684,0.0346048,0.028972845,0.045072695,0.04437036,0.03299772,0.02514235,0.01305512,0.00648236
6/29/2021,39.01263,0.31397,37.8810018,23.1330011,0.109000005,0,1.1646951,1.12369925,0.979183,0.6360039,0.6485745,0.29891474,0.19283858,0.1711854,0,0.111461295,0.1007944,0.08621366,0.0389304,0.034240635,0.0530267,0.0493004,0.03849734,0.032685055,0.01468701,0.00648236
6/29/2021,39.01169,0.30612,37.61000179,23.2000011,0.088000004,58495.86074,1.1646951,1.1176252,0.9734231,0.6259086,0.6300438,0.28133152,0.1753078,0.15691995,32437.82439,0.097950835,0.0863952,0.07121998,0.0346048,0.028972845,0.045072695,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
6/29/2021,39.01082,0.29886,37.35600177,22.31800106,0.088000004,58495.86074,1.1646951,1.1176252,0.9734231,0.6259086,0.6300438,0.28133152,0.179690495,0.1521648,32437.82439,0.10132845,0.0863952,0.0749684,0.0346048,0.028972845,0.045072695,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
6/29/2021,39.0104,0.29543,37.35200177,22.10700105,0.051000002,0,1.1646951,1.1176252,0.9734231,0.6259086,0.6300438,0.28133152,0.1753078,0.15691995,0,0.097950835,0.0863952,0.07121998,0.0346048,0.028972845,0.04242136,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
6/29/2021,39.00966,0.28923,37.31400177,22.96400109,0.088000004,58495.86074,1.1646951,1.11155115,0.9676632,0.6259086,0.6300438,0.285727325,0.179690495,0.1616751,32437.82439,0.10132845,0.089995,0.0749684,0.0346048,0.028972845,0.045072695,0.04437036,0.03299772,0.027656585,0.01305512,0.00648236
6/29/2021,39.00931,0.28637,37.28200177,22.94100109,0.073000003,58495.86074,1.1646951,1.11155115,0.9676632,0.62086095,0.6362207,0.294518935,0.188455885,0.16643025,32437.82439,0.10808368,0.0971946,0.08246524,0.0346048,0.03160674,0.050375365,0.04683538,0.03574753,0.03017082,0.01468701,0.00648236
6/29/2021,39.00862,0.28061,37.26900177,23.1230011,0.066000003,0,1.17138875,1.1176252,0.9676632,0.62086095,0.6300438,0.28133152,0.179690495,0.15691995,0,0.10132845,0.089995,0.07121998,0.0346048,0.028972845,0.045072695,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
6/29/2021,39.0083,0.27793,37.21100177,23.1620011,0.058000003,0,1.17138875,1.1176252,0.9619033,0.62086095,0.6300438,0.28133152,0.179690495,0.15691995,0,0.10132845,0.089995,0.07121998,0.0346048,0.028972845,0.045072695,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
6/29/2021,39.00734,0.27002,37.19000177,23.1190011,0.058000003,58495.86074,1.17138875,1.12369925,0.9676632,0.62086095,0.6300438,0.28133152,0.179690495,0.1521648,32437.82439,0.097950835,0.0863952,0.07121998,0.0346048,0.028972845,0.045072695,0.04190534,0.03024791,0.02514235,0.01305512,0.00648236
